Row,Name,Count,crank1,crankx
285,JIMMY ,162,+38Ê ,-45Ê
285,TROY ,162,+44Ê ,-52Ê
287,NICO ,161,+42Ê ,+213Ê
288,FABIAN ,160,-22Ê ,+178Ê
288,HARRIS ,160,-1Ê ,-19Ê
288,PHILIP ,160,_Ê ,-29Ê
291,IDRIS ,159,+88Ê ,+308Ê
291,JOSIAH ,159,-19Ê ,+43Ê
291,SAMI ,159,+2Ê ,-45Ê
294,TOMAS ,156,+7Ê ,-75Ê
295,ASHLEY ,155,-7Ê ,-183Ê
295,JAX ,155,+104Ê ,Ê:Ê
295,NIALL ,155,-15Ê ,-94Ê
298,HARRI ,154,_Ê ,+104Ê
299,BENTLEY ,153,-36Ê ,+1200Ê
299,NATAN ,153,+113Ê ,+2711Ê
301,BUDDY ,152,+55Ê ,+1047Ê
301,COBY ,152,+17Ê ,+51Ê
301,CONOR ,152,-55Ê ,-168Ê
301,JEREMIAH ,152,-28Ê ,+209Ê
305,PAUL ,150,-20Ê ,-173Ê
305,SIMON ,150,-10Ê ,-128Ê
305,TATE ,150,+5Ê ,+320Ê
308,CAIDEN ,149,-6Ê ,+483Ê
308,JADEN ,149,-26Ê ,-83Ê
308,MCKENZIE ,149,-24Ê ,-114Ê
308,MILAN ,149,+112Ê ,+70Ê
312,LORENZO ,148,-1Ê ,+101Ê
313,MICAH ,147,-14Ê ,+253Ê
314,ASHER ,146,+80Ê ,+70Ê
314,QUINN ,146,+52Ê ,+125Ê
316,COHEN ,145,-3Ê ,+416Ê
316,EDDIE ,145,-12Ê ,+62Ê
318,AYDEN ,144,-30Ê ,+268Ê
318,STEFAN ,144,+64Ê ,+16Ê
320,SOLOMON ,142,+18Ê ,-74Ê
321,EDEN ,141,+17Ê ,+41Ê
321,HARIS ,141,-13Ê ,-25Ê
321,OSIAN ,141,-4Ê ,+92Ê
321,OTTO ,141,+78Ê ,+397Ê
321,WYATT ,141,+45Ê ,+495Ê
326,IBRAHEEM ,140,+7Ê ,+151Ê
326,KYE ,140,-113Ê ,-150Ê
328,BERTIE ,139,+81Ê ,+643Ê
328,FRANKLIN ,139,+14Ê ,+463Ê
330,ROMEO ,138,-52Ê ,+87Ê
331,PHOENIX ,137,-65Ê ,+169Ê
332,ENZO ,136,-12Ê ,+746Ê
332,OLIVIER ,136,-18Ê ,+639Ê
334,LUKA ,135,+35Ê ,-9Ê
335,ABEL ,134,+44Ê ,+397Ê
335,LUIS ,134,+53Ê ,-128Ê
335,RUDY ,134,+47Ê ,+206Ê
338,FINNLEY ,133,+12Ê ,+93Ê
338,STEPHEN ,133,-58Ê ,-199Ê
338,ZACHARIAH ,133,-15Ê ,-10Ê
341,BENEDICT ,132,+9Ê ,-124Ê
341,ZANE ,132,+14Ê ,+76Ê
343,EUAN ,131,-65Ê ,-185Ê
344,NIKODEM ,129,+96Ê ,+3308Ê
345,DAMIAN ,128,-39Ê ,+49Ê
345,IVAN ,128,-3Ê ,+53Ê
